year,gpci_work,gpci_pe,gpci_mp,locality,loc_description,mac,mac_description
2023,1.013,0.996,0.721,441228,FORT WORTH,4412,TEXAS
2023,1.0,1.053,0.727,441231,AUSTIN,4412,TEXAS
2023,1.0,0.95,0.759,441299,REST OF TEXAS,4412,TEXAS
2023,1.0,0.91,0.441,510200,IOWA,5102,IOWA
2023,1.0,0.907,0.499,520200,KANSAS,5202,KANSAS
2023,1.0,0.964,0.941,530201,METROPOLITAN ST. LOUIS,5302,MISSOURI
2023,1.0,0.952,0.941,530202,METROPOLITAN KANSAS CITY,5302,MISSOURI
2023,1.0,0.855,0.901,530299,REST OF MISSOURI,5302,MISSOURI
2023,1.0,0.913,0.269,540200,NEBRASKA,5402,NEBRASKA
2023,1.0,0.93,1.723,610212,EAST ST. LOUIS,6102,ILLINOIS
2023,1.007,1.055,1.53,610215,SUBURBAN CHICAGO,6102,ILLINOIS
2023,1.009,1.033,1.945,610216,CHICAGO,6102,ILLINOIS
2023,1.0,0.912,1.282,610299,REST OF ILLINOIS,6102,ILLINOIS
2023,1.0,1.019,0.326,620200,MINNESOTA,6202,MINNESOTA
2023,1.0,0.95,0.314,630200,WISCONSIN,6302,WISCONSIN
2023,1.0,0.853,0.492,710213,ARKANSAS,7102,ARKANSAS
2023,1.0,0.931,1.342,720201,NEW ORLEANS,7202,LOUISIANA
2023,1.0,0.876,1.144,720299,REST OF LOUISIANA,7202,LOUISIANA
2023,1.0,0.847,0.72,730200,MISSISSIPPI,7302,MISSISSIPPI
2023,1.0,0.911,0.475,810200,INDIANA,8102,INDIANA
2023,1.0,0.992,1.67,820201,DETROIT,8202,MICHIGAN
2023,1.0,0.911,1.076,820299,REST OF MICHIGAN,8202,MICHIGAN
2023,1.0,0.999,1.815,910203,FORT LAUDERDALE,9102,FLORIDA
2023,1.0,1.025,2.564,910204,MIAMI,9102,FLORIDA
2023,1.0,0.94,1.451,910299,REST OF FLORIDA,9102,FLORIDA
2023,1.0,1.008,0.984,920220,PUERTO RICO,9202,PUERTO RICO/VIRGIN ISLANDS
2023,1.0,1.008,0.984,920250,VIRGIN ISLANDS,9202,PUERTO RICO/VIRGIN ISLANDS
2023,1.0,0.878,0.748,1011200,ALABAMA,10112,ALABAMA
2023,1.0,0.998,1.016,1021201,ATLANTA,10212,GEORGIA
2023,1.0,0.881,1.015,1021299,REST OF GEORGIA,10212,GEORGIA
2023,1.0,0.894,0.518,1031235,TENNESSEE,10312,TENNESSEE
2023,1.0,0.908,0.756,1120201,SOUTH CAROLINA,11202,SOUTH CAROLINA
2023,1.0,0.99,0.826,1130200,VIRGINIA,11302,VIRGINIA
2023,1.0,0.86,1.266,1140216,WEST VIRGINIA,11402,WEST VIRGINIA
2023,1.0,0.927,0.742,1150200,NORTH CAROLINA,11502,NORTH CAROLINA
2023,1.007,1.007,0.938,1210201,DELAWARE,12102,DELAWARE
2023,1.056,1.214,1.231,1220201,DC + MD/VA SUBURBS,12202,DISTRICT OF COLUMBIA
2023,1.024,1.087,1.311,1230201,BALTIMORE/SURR. CNTYS,12302,MARYLAND
2023,1.011,1.027,1.022,1230299,REST OF MARYLAND,12302,MARYLAND
2023,1.056,1.186,0.996,1240201,NORTHERN NJ,12402,NEW JERSEY
2023,1.039,1.124,1.014,1240299,REST OF NEW JERSEY,12402,NEW JERSEY
2023,1.023,1.068,1.188,1250201,METROPOLITAN PHILADELPHIA,12502,PENNSYLVANIA
2023,1.0,0.933,0.906,1250299,REST OF PENNSYLVANIA,12502,PENNSYLVANIA
2023,1.03,1.102,1.07,1310200,CONNECTICUT,13102,CONNECTICUT
2023,1.061,1.184,1.843,1320201,MANHATTAN,13202,EMPIRE NEW YORK
2023,1.056,1.212,2.307,1320202,NYC SUBURBS/LONG ISLAND,13202,EMPIRE NEW YORK
2023,1.036,1.105,1.458,1320203,POUGHKPSIE/N NYC SUBURBS,13202,EMPIRE NEW YORK
2023,1.0,0.952,0.742,1328299,REST OF NEW YORK,13282,WESTERN NEW YORK
2023,1.061,1.212,2.061,1329204,QUEENS,13292,GHI/NEW YORK
2023,1.0,1.005,0.654,1411203,SOUTHERN MAINE,14112,MAINE
2023,1.0,0.905,0.651,1411299,REST OF MAINE,14112,MAINE
2023,1.045,1.2,0.868,1421201,METROPOLITAN BOSTON,14212,MASSACHUSETTS
2023,1.022,1.061,0.819,1421299,REST OF MASSACHUSETTS,14212,MASSACHUSETTS
2023,1.0,1.036,0.907,1431240,NEW HAMPSHIRE,14312,NEW HAMPSHIRE
2023,1.023,1.044,0.915,1441201,RHODE ISLAND,14412,RHODE ISLAND
2023,1.0,0.997,0.543,1451250,VERMONT,14512,VERMONT
2023,1.0,0.873,0.87,1510200,KENTUCKY,15102,KENTUCKY
2023,1.0,0.912,1.063,1520200,OHIO,15202,OHIO
