year,gpci_work,gpci_pe,gpci_mp,locality,loc_description,mac,mac_description
2023,1.0,1.0,1.0,0,NATIONAL,0,NATIONAL
2023,1.082,1.374,0.452,111205,SAN FRANCISCO-OAKLAND-HAYWARD (SAN FRANCISCO CNTY),1112,NORTHERN CALIFORNIA
2023,1.082,1.374,0.452,111206,SAN FRANCISCO-OAKLAND-HAYWARD (SAN MATEO CNTY),1112,NORTHERN CALIFORNIA
2023,1.082,1.374,0.452,111207,SAN FRANCISCO-OAKLAND-HAYWARD (ALAMEDA/CONTRA COSTA CNTY),1112,NORTHERN CALIFORNIA
2023,1.098,1.409,0.417,111209,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),1112,NORTHERN CALIFORNIA
2023,1.051,1.265,0.513,111251,NAPA,1112,NORTHERN CALIFORNIA
2023,1.082,1.374,0.487,111252,SAN FRANCISCO-OAKLAND-HAYWARD (MARIN CNTY),1112,NORTHERN CALIFORNIA
2023,1.051,1.265,0.487,111253,VALLEJO-FAIRFIELD,1112,NORTHERN CALIFORNIA
2023,1.027,1.079,0.694,111254,BAKERSFIELD,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111255,CHICO,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111256,FRESNO,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111257,HANFORD-CORCORAN,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111258,MADERA,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111259,MERCED,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111260,MODESTO,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111261,REDDING,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.924,111262,RIVERSIDE-SAN BERNARDINO-ONTARIO,1112,NORTHERN CALIFORNIA
2023,1.036,1.119,0.579,111263,SACRAMENTO--ROSEVILLE--ARDEN-ARCADE,1112,NORTHERN CALIFORNIA
2023,1.05,1.149,0.579,111264,SALINAS,1112,NORTHERN CALIFORNIA
2023,1.098,1.409,0.579,111265,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),1112,NORTHERN CALIFORNIA
2023,1.031,1.207,0.579,111266,SANTA CRUZ-WATSONVILLE,1112,NORTHERN CALIFORNIA
2023,1.036,1.205,0.579,111267,SANTA ROSA,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111268,STOCKTON-LODI,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111269,VISALIA-PORTERVILLE,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111270,YUBA CITY,1112,NORTHERN CALIFORNIA
2023,1.021,1.079,0.579,111275,REST OF CALIFORNIA,1112,NORTHERN CALIFORNIA
2023,1.027,1.181,0.689,118217,OXNARD-THOUSAND OAKS-VENTURA,1182,SOUTHERN CALIFORNIA
2023,1.045,1.185,0.724,118218,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES CNTY),1182,SOUTHERN CALIFORNIA
2023,1.045,1.185,0.724,118226,LOS ANGELES-LONG BEACH-ANAHEIM (ORANGE CNTY),1182,SOUTHERN CALIFORNIA
2023,1.021,1.079,0.595,118271,EL CENTRO,1182,SOUTHERN CALIFORNIA
2023,1.032,1.176,0.596,118272,SAN DIEGO-CARLSBAD,1182,SOUTHERN CALIFORNIA
2023,1.021,1.111,0.579,118273,SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE,1182,SOUTHERN CALIFORNIA
2023,1.031,1.175,0.579,118274,SANTA MARIA-SANTA BARBARA,1182,SOUTHERN CALIFORNIA
2023,1.003,1.146,0.618,121201,"HAWAII, GUAM",1212,HAWAII/GUAM/AMER SAMOA/N MARIANA
2023,1.0,1.0,1.098,131200,NEVADA,1312,NEVADA
2023,1.5,1.1,0.603,210201,ALASKA,2102,ALASKA
2023,1.0,0.893,0.439,220200,IDAHO,2202,IDAHO
2023,1.018,1.083,0.612,230201,PORTLAND,2302,OREGON
2023,1.0,0.966,0.589,230299,REST OF OREGON,2302,OREGON
2023,1.039,1.207,0.815,240202,SEATTLE (KING CNTY),2402,WASHINGTON
2023,1.003,1.027,0.773,240299,REST OF WASHINGTON,2402,WASHINGTON
2023,1.0,0.963,0.855,310200,ARIZONA,3102,ARIZONA
2023,1.0,1.0,0.978,320201,MONTANA,3202,MONTANA
2023,1.0,1.0,0.474,330201,NORTH DAKOTA,3302,NORTH DAKOTA
2023,1.0,1.0,0.364,340202,SOUTH DAKOTA,3402,SOUTH DAKOTA
2023,1.0,0.926,0.865,350209,UTAH,3502,UTAH
2023,1.0,1.0,0.79,360221,WYOMING,3602,WYOMING
2023,1.005,1.05,0.797,411201,COLORADO,4112,COLORADO
2023,1.0,0.902,1.169,421205,NEW MEXICO,4212,NEW MEXICO
2023,1.0,0.886,0.798,431200,OKLAHOMA,4312,OKLAHOMA
2023,1.023,1.014,0.673,441209,BRAZORIA,4412,TEXAS
2023,1.017,1.017,0.711,441211,DALLAS,4412,TEXAS
2023,1.023,1.013,0.703,441215,GALVESTON,4412,TEXAS
2023,1.023,1.016,1.154,441218,HOUSTON,4412,TEXAS
2023,1.0,0.924,0.749,441220,BEAUMONT,4412,TEXAS
